kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
253210220,DOBRYLAS,21.827222,53.296389,IMGW - brak bieżących danych,IMGW-PIB,104,1949
253220210,TYKOCIN,22.770556,53.204444,IMGW - brak bieżących danych,IMGW-PIB,109,
253230170,NOWOSIÓŁKI,23.526389,53.175,IMGW - brak bieżących danych,IMGW-PIB,132,
254150050,BIAŁOGARD,15.975,54.004167,IMGW - posterunek opadowy,IMGW-PIB,23,2023
254160040,JEŻYCZKI,16.390556,54.334722,IMGW - brak bieżących danych,IMGW-PIB,10,1949
254160060,SIERAKOWO,16.516389,54.216389,IMGW - posterunek opadowy,IMGW-PIB,50,1948
254160080,POLANÓW,16.683056,54.118611,IMGW - stacja klimatologiczna,IMGW-PIB,80,1948
254160130,CIECHOLUB,16.874444,54.172778,IMGW - posterunek opadowy,IMGW-PIB,115,2024
254160140,KŁANINO,16.486111,54.0275,IMGW - posterunek opadowy,IMGW-PIB,114,2024
254170130,NIEZABYSZEWO,17.423333,54.138333,IMGW - brak bieżących danych,IMGW-PIB,160,
254170190,SŁUPSK,17.035556,54.463333,IMGW - brak bieżących danych,IMGW-PIB,17,
254170210,BORUCINO,17.991667,54.253611,IMGW - stacja klimatologiczna,IMGW-PIB,,2005
254180130,GORĘCZYNO,18.1625,54.261944,IMGW - brak bieżących danych,IMGW-PIB,177,1998
351160425,WROCŁAW,16.881667,51.113611,IMGW - stacja synoptyczna,IMGW-PIB,120,1956
249200320,ŁOPUSZNA,20.123611,49.474167,IMGW - brak bieżących danych,IMGW-PIB,570,
254200140,OSIEKA,20.7825,54.208889,IMGW - posterunek opadowy,IMGW-PIB,74,2024
251230240,STUDZIANKA,23.214722,51.931667,IMGW - posterunek opadowy,IMGW-PIB,143,2024
251230220,DEPUŁTYCZE KRÓLEWSKIE,23.436111,51.083056,IMGW - stacja klimatologiczna,IMGW-PIB,216,2025
254220120,PRZEROŚL,22.659722,54.258056,IMGW - posterunek opadowy,IMGW-PIB,215,2024
251150080,GRABIK,15.111389,51.6525,IMGW - posterunek opadowy,IMGW-PIB,166,1946
252220210,WIERZBOWO NOWE,22.324167,52.984444,IMGW - posterunek opadowy,IMGW-PIB,130,2024
252150350,KLESZCZEWO,15.389722,52.455833,IMGW - stacja klimatologiczna,IMGW-PIB,93,2024
252170410,MOGILNO,17.966667,52.644444,IMGW - posterunek opadowy,IMGW-PIB,95,2024
249201020,OSTROWSKO,20.093889,49.48,IMGW - stacja klimatologiczna,IMGW-PIB,568,2024
253210390,MIKOSZE-OSADA,21.907778,53.816111,IMGW - posterunek opadowy,IMGW-PIB,124,2024
251220260,TURZE ROGI,22.463889,51.926944,IMGW - stacja klimatologiczna,IMGW-PIB,159,2024
250180540,RYDUŁTOWY,18.429444,50.050278,IMGW - posterunek opadowy,IMGW-PIB,295,1949
